AU000000RIO1 Equity ISIN;;;BE0003793107 Equity ISIN;;;CH0011037469 Equity ISIN;;;CH0011075394 Equity ISIN;;;CH0012032048 Equity ISIN;;;CH0012032113 Equity ISIN;;;CH0012221716 Equity ISIN;;;CH0038863350 Equity ISIN;;;CH0244767585 Equity ISIN;;;CNE1000001Q4 Equity ISIN;;;CNE1000001Z5 Equity ISIN;;;CNE100000205 Equity ISIN;;;CNE1000002H1 Equity ISIN;;;CNE1000002L3 Equity ISIN;;;CNE1000002M1 Equity ISIN;;;CNE1000002R0 Equity ISIN;;;CNE1000002V2 Equity ISIN;;;CNE1000003G1 Equity ISIN;;;CNE1000003W8 Equity ISIN;;;CNE1000003X6 Equity ISIN;;;CNE1000009Q7 Equity ISIN;;;CNE100000FF3 Equity ISIN;;;CNE100000HF9 Equity ISIN;;;CNE100000Q43 Equity ISIN;;;CNE100001922 Equity ISIN;;;DE0005552004 Equity ISIN;;;DE0005785604 Equity ISIN;;;DE0006599905 Equity ISIN;;;DE0007100000 Equity ISIN;;;DE0007164600 Equity ISIN;;;DE0007236101 Equity ISIN;;;DE000A1EWWW0 Equity ISIN;;;FR0000120321 Equity ISIN;;;FR0000120578 Equity ISIN;;;FR0000120628 Equity ISIN;;;FR0000121014 Equity ISIN;;;FR0000125486 Equity ISIN;;;FR0000131104 Equity ISIN;;;GB0002374006 Equity ISIN;;;GB0002875804 Equity ISIN;;;GB0009252882 Equity ISIN;;;GB0009895292 Equity ISIN;;;GB0030913577 Equity ISIN;;;GB00B03MLX29 Equity ISIN;;;HK0000069689 Equity ISIN;;;HK0011000095 Equity ISIN;;;HK0016000132 Equity ISIN;;;HK0941009539 Equity ISIN;;;HK2388011192 Equity ISIN;;;JP3435000009 Equity ISIN;;;JP3436100006 Equity ISIN;;;JP3802300008 Equity ISIN;;;JP3902900004 Equity ISIN;;;KYG217651051 Equity ISIN;;;KYG875721634 Equity ISIN;;;MXP001691213 Equity ISIN;;;NL0000009355 Equity ISIN;;;NL0006144495 Equity ISIN;;;NL0010273215 Equity ISIN;;;US00724F1012 Equity ISIN;;;US01609W1027 Equity ISIN;;;US0231351067 Equity ISIN;;;US05577E1010 Equity ISIN;;;US0567521085 Equity ISIN;;;US0640581007 Equity ISIN;;;US0846701086 Equity ISIN;;;US16939P1066 Equity ISIN;;;US1694261033 Equity ISIN;;;US1729674242 Equity ISIN;;;US2686481027 Equity ISIN;;;US2786421030 Equity ISIN;;;US30303M1027 Equity ISIN;;;US3696041033 Equity ISIN;;;US5486611073 Equity ISIN;;;US6092071058 Equity ISIN;;;US64110L1061 Equity ISIN;;;US7185461040 Equity ISIN;;;US7427181091 Equity ISIN;;;US90130A2006 Equity ISIN;;;US9130171096 Equity ISIN;;;US92826C8394 Equity ISIN;;;US9311421039 Equity ISIN;;;US9843321061 Equity ISIN;;;ZAE000015889 Equity ISIN;
Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST
01.01.2008;94.6478;;01.01.2008;52.0458;;01.01.2008;256.4875;;01.01.2008;296.5;;01.01.2008;171;;01.01.2008;#N/A N/A;;01.01.2008;28.85;;01.01.2008;45.25;;01.01.2008;#N/A N/A;;01.01.2008;0.6325;;01.01.2008;0.47;;01.01.2008;1.2336;;01.01.2008;0.8343;;01.01.2008;4.9;;01.01.2008;3.1948;;01.01.2008;5.85;;01.01.2008;0.77;;01.01.2008;0.6819;;01.01.2008;1.75;;01.01.2008;5.3;;01.01.2008;#N/A N/A;;01.01.2008;#N/A N/A;;01.01.2008;#N/A N/A;;01.01.2008;#N/A N/A;;01.01.2008;#N/A N/A;;01.01.2008;34.15;;01.01.2008;#N/A N/A;;01.01.2008;64;;01.01.2008;95.63;;01.01.2008;51.4;;01.01.2008;154.0761;;01.01.2008;75.35;;01.01.2008;141.5;;39448;91.5;;39448;40.9397;;39448;108.5979;;39448;74.05;;39448;103.5068;;39448;21.4;;39448;39;;39448;25.44;;39448;43.2;;39448;5.42;;39448;41.5;;39448;#N/A N/A;;39448;19.45;;39448;20.4;;39448;17.05;;39448;2.9;;39448;55;;39448;20.4;;39448;69.5;;39448;9.95;;39448;#N/A N/A;;39448;1.52;;39448;1.4238;;39448;35.2;;39448;14.8715;;39448;31.5;;39448;42.73;;39448;#N/A N/A;;39448;92.64;;39448;26.96;;39448;38.98;;39448;48.76;;39448;141600;;39448;25.5;;39448;78.07;;39448;294.4;;39448;18.53;;39448;13.9689;;39448;#N/A N/A;;39448;37.07;;39448;22.62;;39448;21.3492;;39448;3.803;;39448;#N/A N/A;;39448;73.42;;39448;18.7605;;39448;76.54;;39448;#N/A N/A;;39448;47.53;;39448;23.26;;39448;#N/A N/A
02.01.2008;94.6478;;02.01.2008;52.0458;;02.01.2008;256.4875;;02.01.2008;296.5;;02.01.2008;171;;02.01.2008;#N/A N/A;;02.01.2008;28.85;;02.01.2008;45.25;;02.01.2008;#N/A N/A;;02.01.2008;0.6325;;02.01.2008;0.465;;02.01.2008;1.2163;;02.01.2008;0.7955;;02.01.2008;5.05;;02.01.2008;2.9317;;02.01.2008;5.85;;02.01.2008;0.77;;02.01.2008;0.6868;;02.01.2008;1.76;;02.01.2008;5.225;;02.01.2008;#N/A N/A;;02.01.2008;#N/A N/A;;02.01.2008;#N/A N/A;;02.01.2008;#N/A N/A;;02.01.2008;#N/A N/A;;02.01.2008;33.25;;02.01.2008;#N/A N/A;;02.01.2008;64;;02.01.2008;94.75;;02.01.2008;52.2;;02.01.2008;154.0761;;02.01.2008;75.35;;02.01.2008;141.5;;02.01.2008;91.5;;02.01.2008;40.9397;;02.01.2008;109.0485;;02.01.2008;74.05;;02.01.2008;103.5068;;02.01.2008;21.4;;02.01.2008;39;;02.01.2008;25.44;;02.01.2008;43.2;;02.01.2008;5.42;;02.01.2008;41.5;;02.01.2008;#N/A N/A;;02.01.2008;19.45;;02.01.2008;21.25;;02.01.2008;17.3;;02.01.2008;2.9;;02.01.2008;55;;02.01.2008;20;;02.01.2008;69.5;;02.01.2008;9.95;;02.01.2008;#N/A N/A;;02.01.2008;1.44;;02.01.2008;1.3764;;02.01.2008;35.2;;02.01.2008;14.8715;;02.01.2008;31.5;;02.01.2008;41.71;;02.01.2008;#N/A N/A;;02.01.2008;96.25;;02.01.2008;26.58;;02.01.2008;38.188;;02.01.2008;47.13;;02.01.2008;139300;;02.01.2008;24.9867;;02.01.2008;78.72;;02.01.2008;289.2;;02.01.2008;18.02;;02.01.2008;13.6743;;02.01.2008;#N/A N/A;;02.01.2008;36.76;;02.01.2008;22.18;;02.01.2008;20.9697;;02.01.2008;3.764;;02.01.2008;#N/A N/A;;02.01.2008;72.31;;02.01.2008;18.2749;;02.01.2008;75.21;;02.01.2008;#N/A N/A;;02.01.2008;46.9;;02.01.2008;23.72;;02.01.2008;#N/A N/A
03.01.2008;94.6478;;03.01.2008;53.7025;;03.01.2008;256.4875;;03.01.2008;296.5;;03.01.2008;171;;03.01.2008;#N/A N/A;;03.01.2008;28.85;;03.01.2008;46.3;;03.01.2008;#N/A N/A;;03.01.2008;0.6325;;03.01.2008;0.48;;03.01.2008;1.1559;;03.01.2008;0.7809;;03.01.2008;5.05;;03.01.2008;2.8941;;03.01.2008;5.75;;03.01.2008;0.77;;03.01.2008;0.6377;;03.01.2008;1.72;;03.01.2008;5.175;;03.01.2008;#N/A N/A;;03.01.2008;#N/A N/A;;03.01.2008;#N/A N/A;;03.01.2008;#N/A N/A;;03.01.2008;#N/A N/A;;03.01.2008;33.55;;03.01.2008;#N/A N/A;;03.01.2008;64;;03.01.2008;92.37;;03.01.2008;52.2;;03.01.2008;152.138;;03.01.2008;75.35;;03.01.2008;141.5;;03.01.2008;91.5;;03.01.2008;40.9397;;03.01.2008;107.7867;;03.01.2008;68.25;;03.01.2008;103.5068;;03.01.2008;21;;03.01.2008;38.75;;03.01.2008;25.44;;03.01.2008;42.6;;03.01.2008;5.42;;03.01.2008;41.5;;03.01.2008;#N/A N/A;;03.01.2008;19.7;;03.01.2008;21.25;;03.01.2008;17.3;;03.01.2008;2.72;;03.01.2008;55;;03.01.2008;20.25;;03.01.2008;69.5;;03.01.2008;9.95;;03.01.2008;#N/A N/A;;03.01.2008;1.48;;03.01.2008;1.4063;;03.01.2008;35.2;;03.01.2008;14.8715;;03.01.2008;31.5;;03.01.2008;41.79;;03.01.2008;#N/A N/A;;03.01.2008;95.21;;03.01.2008;26.465;;03.01.2008;37.509;;03.01.2008;49.17;;03.01.2008;139600;;03.01.2008;24.88;;03.01.2008;78.38;;03.01.2008;289.3;;03.01.2008;17.83;;03.01.2008;13.8216;;03.01.2008;#N/A N/A;;03.01.2008;36.8;;03.01.2008;21.76;;03.01.2008;20.8061;;03.01.2008;3.724;;03.01.2008;#N/A N/A;;03.01.2008;72.31;;03.01.2008;18.2308;;03.01.2008;76.28;;03.01.2008;#N/A N/A;;03.01.2008;46.38;;03.01.2008;23.84;;03.01.2008;#N/A N/A
04.01.2008;94.6478;;04.01.2008;53.7651;;04.01.2008;256.4875;;04.01.2008;286;;04.01.2008;171;;04.01.2008;#N/A N/A;;04.01.2008;26.7258;;04.01.2008;46.3;;04.01.2008;#N/A N/A;;04.01.2008;0.5891;;04.01.2008;0.47;;04.01.2008;1.1559;;04.01.2008;0.7761;;04.01.2008;5.05;;04.01.2008;2.8941;;04.01.2008;5.85;;04.01.2008;0.77;;04.01.2008;0.6524;;04.01.2008;1.79;;04.01.2008;5.1;;04.01.2008;#N/A N/A;;04.01.2008;#N/A N/A;;04.01.2008;#N/A N/A;;04.01.2008;#N/A N/A;;04.01.2008;#N/A N/A;;04.01.2008;33.55;;04.01.2008;#N/A N/A;;04.01.2008;64;;04.01.2008;86.42;;04.01.2008;52.2;;04.01.2008;152.138;;04.01.2008;75.35;;04.01.2008;141.5;;04.01.2008;91.5;;04.01.2008;40.9397;;04.01.2008;104.9028;;04.01.2008;68.25;;04.01.2008;103.5068;;04.01.2008;20.95;;04.01.2008;38.75;;04.01.2008;25.44;;04.01.2008;42.6;;04.01.2008;5.42;;04.01.2008;42.7;;04.01.2008;#N/A N/A;;04.01.2008;19.7;;04.01.2008;21.25;;04.01.2008;17.55;;04.01.2008;2.9;;04.01.2008;55;;04.01.2008;20.6;;04.01.2008;69.5;;04.01.2008;9.95;;04.01.2008;#N/A N/A;;04.01.2008;1.59;;04.01.2008;1.4063;;04.01.2008;35.2;;04.01.2008;14.8715;;04.01.2008;31.5;;04.01.2008;40.36;;04.01.2008;#N/A N/A;;04.01.2008;88.79;;04.01.2008;25.9;;04.01.2008;36.1;;04.01.2008;48.15;;04.01.2008;135500;;04.01.2008;24.3333;;04.01.2008;76.26;;04.01.2008;282.4;;04.01.2008;16.99;;04.01.2008;13.1735;;04.01.2008;#N/A N/A;;04.01.2008;36.04;;04.01.2008;21.08;;04.01.2008;20.5771;;04.01.2008;3.516;;04.01.2008;#N/A N/A;;04.01.2008;72.02;;04.01.2008;17.754;;04.01.2008;75.02;;04.01.2008;#N/A N/A;;04.01.2008;45.72;;04.01.2008;23.16;;04.01.2008;#N/A N/A
07.01.2008;94.6478;;07.01.2008;53.9213;;07.01.2008;269.55;;07.01.2008;286;;07.01.2008;171;;07.01.2008;#N/A N/A;;07.01.2008;26.5346;;07.01.2008;46.3;;07.01.2008;#N/A N/A;;07.01.2008;0.5891;;07.01.2008;0.46;;07.01.2008;1.1301;;07.01.2008;0.7615;;07.01.2008;4.913;;07.01.2008;2.8189;;07.01.2008;5.9;;07.01.2008;0.77;;07.01.2008;0.6819;;07.01.2008;1.75;;07.01.2008;4.975;;07.01.2008;#N/A N/A;;07.01.2008;#N/A N/A;;07.01.2008;#N/A N/A;;07.01.2008;#N/A N/A;;07.01.2008;#N/A N/A;;07.01.2008;33.25;;07.01.2008;#N/A N/A;;07.01.2008;64;;07.01.2008;86.46;;07.01.2008;52.2;;07.01.2008;152.138;;07.01.2008;75.35;;07.01.2008;141.5;;07.01.2008;91.5;;07.01.2008;40.9397;;07.01.2008;104.317;;07.01.2008;68.25;;07.01.2008;103.5068;;07.01.2008;20.95;;07.01.2008;38.75;;07.01.2008;25.7;;07.01.2008;42.6;;07.01.2008;5.15;;07.01.2008;42.7;;07.01.2008;#N/A N/A;;07.01.2008;19.7;;07.01.2008;21.25;;07.01.2008;17.55;;07.01.2008;2.76;;07.01.2008;55;;07.01.2008;19.3;;07.01.2008;69.5;;07.01.2008;9.95;;07.01.2008;#N/A N/A;;07.01.2008;1.59;;07.01.2008;1.4063;;07.01.2008;35.2;;07.01.2008;14.8715;;07.01.2008;31.5;;07.01.2008;40.24;;07.01.2008;#N/A N/A;;07.01.2008;88.82;;07.01.2008;26.035;;07.01.2008;34.431;;07.01.2008;48.81;;07.01.2008;133700;;07.01.2008;24.6;;07.01.2008;77.59;;07.01.2008;282.6;;07.01.2008;16.04;;07.01.2008;12.8115;;07.01.2008;#N/A N/A;;07.01.2008;36.18;;07.01.2008;21.11;;07.01.2008;20.8977;;07.01.2008;3.554;;07.01.2008;#N/A N/A;;07.01.2008;72.49;;07.01.2008;17.5775;;07.01.2008;74.67;;07.01.2008;#N/A N/A;;07.01.2008;46.56;;07.01.2008;23.18;;07.01.2008;#N/A N/A
08.01.2008;94.6478;;08.01.2008;53.9213;;08.01.2008;269.55;;08.01.2008;286;;08.01.2008;182.047;;08.01.2008;#N/A N/A;;08.01.2008;26.5346;;08.01.2008;46.85;;08.01.2008;#N/A N/A;;08.01.2008;0.5891;;08.01.2008;0.46;;08.01.2008;1.1559;;08.01.2008;0.7567;;08.01.2008;5;;08.01.2008;2.9317;;08.01.2008;5.9;;08.01.2008;0.77;;08.01.2008;0.677;;08.01.2008;1.75;;08.01.2008;4.95;;08.01.2008;#N/A N/A;;08.01.2008;#N/A N/A;;08.01.2008;#N/A N/A;;08.01.2008;#N/A N/A;;08.01.2008;#N/A N/A;;08.01.2008;35.5;;08.01.2008;#N/A N/A;;08.01.2008;64;;08.01.2008;83.87;;08.01.2008;52.2;;08.01.2008;152.138;;08.01.2008;75.35;;08.01.2008;141.5;;08.01.2008;96;;08.01.2008;37.0998;;08.01.2008;106.0294;;08.01.2008;68.25;;08.01.2008;103.5068;;08.01.2008;20.95;;08.01.2008;38.65;;08.01.2008;26.746;;08.01.2008;44.0145;;08.01.2008;5.15;;08.01.2008;42.7;;08.01.2008;#N/A N/A;;08.01.2008;20.2;;08.01.2008;21.5;;08.01.2008;17;;08.01.2008;2.81;;08.01.2008;54.95;;08.01.2008;19.75;;08.01.2008;69.5;;08.01.2008;9.25;;08.01.2008;#N/A N/A;;08.01.2008;1.53;;08.01.2008;1.4063;;08.01.2008;35.2;;08.01.2008;14.8715;;08.01.2008;31.5;;08.01.2008;39.22;;08.01.2008;#N/A N/A;;08.01.2008;87.88;;08.01.2008;26.905;;08.01.2008;34.521;;08.01.2008;47;;08.01.2008;133685;;08.01.2008;24.1667;;08.01.2008;78.55;;08.01.2008;271.4;;08.01.2008;16.03;;08.01.2008;12.6305;;08.01.2008;#N/A N/A;;08.01.2008;35.4;;08.01.2008;20.52;;08.01.2008;20.6753;;08.01.2008;3.329;;08.01.2008;#N/A N/A;;08.01.2008;72.68;;08.01.2008;17.1449;;08.01.2008;71.79;;08.01.2008;#N/A N/A;;08.01.2008;45.97;;08.01.2008;22.61;;08.01.2008;#N/A N/A
09.01.2008;94.6478;;09.01.2008;53.9213;;09.01.2008;269.55;;09.01.2008;286;;09.01.2008;187.5;;09.01.2008;#N/A N/A;;09.01.2008;26.5346;;09.01.2008;46.65;;09.01.2008;#N/A N/A;;09.01.2008;0.5891;;09.01.2008;0.47;;09.01.2008;1.1559;;09.01.2008;0.81;;09.01.2008;5;;09.01.2008;2.9317;;09.01.2008;6;;09.01.2008;0.77;;09.01.2008;0.677;;09.01.2008;1.75;;09.01.2008;5.085;;09.01.2008;#N/A N/A;;09.01.2008;#N/A N/A;;09.01.2008;#N/A N/A;;09.01.2008;#N/A N/A;;09.01.2008;#N/A N/A;;09.01.2008;35.3;;09.01.2008;#N/A N/A;;09.01.2008;64;;09.01.2008;83.82;;09.01.2008;47.672;;09.01.2008;152.138;;09.01.2008;68;;09.01.2008;141.5;;09.01.2008;97.45;;09.01.2008;36.836;;09.01.2008;100.622;;09.01.2008;68.25;;09.01.2008;103.5068;;09.01.2008;20.95;;09.01.2008;38.65;;09.01.2008;26.95;;09.01.2008;44.0145;;09.01.2008;5.15;;09.01.2008;41.8;;09.01.2008;#N/A N/A;;09.01.2008;20.2;;09.01.2008;21.95;;09.01.2008;17.35;;09.01.2008;2.89;;09.01.2008;56.29;;09.01.2008;19.8;;09.01.2008;69.5;;09.01.2008;9.25;;09.01.2008;#N/A N/A;;09.01.2008;1.47;;09.01.2008;1.3526;;09.01.2008;35.2;;09.01.2008;14.8715;;09.01.2008;31.5;;09.01.2008;39.46;;09.01.2008;#N/A N/A;;09.01.2008;85.22;;09.01.2008;26.785;;09.01.2008;34.41;;09.01.2008;47.79;;09.01.2008;130400;;09.01.2008;25.4667;;09.01.2008;85.2;;09.01.2008;274.9;;09.01.2008;16.55;;09.01.2008;12.5716;;09.01.2008;#N/A N/A;;09.01.2008;35.8;;09.01.2008;20.66;;09.01.2008;20.7996;;09.01.2008;3.286;;09.01.2008;#N/A N/A;;09.01.2008;72.54;;09.01.2008;17.5245;;09.01.2008;71.96;;09.01.2008;#N/A N/A;;09.01.2008;46.9;;09.01.2008;22.56;;09.01.2008;#N/A N/A
10.01.2008;94.6478;;10.01.2008;53.0774;;10.01.2008;269.55;;10.01.2008;286;;10.01.2008;188.5;;10.01.2008;#N/A N/A;;10.01.2008;26.5346;;10.01.2008;46.65;;10.01.2008;#N/A N/A;;10.01.2008;0.618;;10.01.2008;0.46;;10.01.2008;1.1559;;10.01.2008;0.7955;;10.01.2008;4.95;;10.01.2008;3.0445;;10.01.2008;6.1;;10.01.2008;0.77;;10.01.2008;0.6966;;10.01.2008;1.79;;10.01.2008;5.085;;10.01.2008;#N/A N/A;;10.01.2008;#N/A N/A;;10.01.2008;#N/A N/A;;10.01.2008;#N/A N/A;;10.01.2008;#N/A N/A;;10.01.2008;35.6;;10.01.2008;#N/A N/A;;10.01.2008;64;;10.01.2008;85.6;;10.01.2008;47.672;;10.01.2008;152.138;;10.01.2008;66.9;;10.01.2008;141.5;;10.01.2008;97.45;;10.01.2008;37.3734;;10.01.2008;99.4955;;10.01.2008;68.25;;10.01.2008;103.5068;;10.01.2008;20.95;;10.01.2008;38.65;;10.01.2008;26.9;;10.01.2008;44.8;;10.01.2008;5.15;;10.01.2008;42.25;;10.01.2008;#N/A N/A;;10.01.2008;20.2;;10.01.2008;21.95;;10.01.2008;17.35;;10.01.2008;3;;10.01.2008;56.29;;10.01.2008;19.7;;10.01.2008;69.5;;10.01.2008;9.44;;10.01.2008;#N/A N/A;;10.01.2008;1.47;;10.01.2008;1.3526;;10.01.2008;35.2;;10.01.2008;12.5163;;10.01.2008;31.5;;10.01.2008;39.25;;10.01.2008;#N/A N/A;;10.01.2008;84.26;;10.01.2008;27.26;;10.01.2008;33.954;;10.01.2008;47.53;;10.01.2008;134200;;10.01.2008;25.5833;;10.01.2008;90.85;;10.01.2008;281.1;;10.01.2008;16.62;;10.01.2008;12.7779;;10.01.2008;#N/A N/A;;10.01.2008;35.92;;10.01.2008;20.78;;10.01.2008;21.395;;10.01.2008;3.529;;10.01.2008;#N/A N/A;;10.01.2008;72.48;;10.01.2008;17.7629;;10.01.2008;72.39;;10.01.2008;#N/A N/A;;10.01.2008;48.4;;10.01.2008;24.09;;10.01.2008;#N/A N/A
11.01.2008;94.6478;;11.01.2008;53.0774;;11.01.2008;269.55;;11.01.2008;286;;11.01.2008;188.5;;11.01.2008;#N/A N/A;;11.01.2008;26.5346;;11.01.2008;46.65;;11.01.2008;#N/A N/A;;11.01.2008;0.618;;11.01.2008;0.455;;11.01.2008;1.1559;;11.01.2008;0.7858;;11.01.2008;4.95;;11.01.2008;3.1948;;11.01.2008;6.2;;11.01.2008;0.77;;11.01.2008;0.677;;11.01.2008;1.78;;11.01.2008;4.9;;11.01.2008;#N/A N/A;;11.01.2008;#N/A N/A;;11.01.2008;#N/A N/A;;11.01.2008;#N/A N/A;;11.01.2008;#N/A N/A;;11.01.2008;35.45;;11.01.2008;#N/A N/A;;11.01.2008;64;;11.01.2008;84.86;;11.01.2008;47.672;;11.01.2008;139.5406;;11.01.2008;66.9;;11.01.2008;141.5;;11.01.2008;97.45;;11.01.2008;37.3734;;11.01.2008;96.4313;;11.01.2008;68.25;;11.01.2008;103.5068;;11.01.2008;20.95;;11.01.2008;38.65;;11.01.2008;26.9;;11.01.2008;45.25;;11.01.2008;5.15;;11.01.2008;42.25;;11.01.2008;#N/A N/A;;11.01.2008;20.2;;11.01.2008;21.3;;11.01.2008;17.35;;11.01.2008;2.97;;11.01.2008;56.29;;11.01.2008;19.7;;11.01.2008;69.5;;11.01.2008;9.44;;11.01.2008;#N/A N/A;;11.01.2008;1.48;;11.01.2008;1.4001;;11.01.2008;35.2;;11.01.2008;12.5163;;11.01.2008;31.5;;11.01.2008;38.05;;11.01.2008;#N/A N/A;;11.01.2008;81.08;;11.01.2008;27.275;;11.01.2008;32.925;;11.01.2008;46.5;;11.01.2008;132100;;11.01.2008;24.4033;;11.01.2008;85;;11.01.2008;285.6;;11.01.2008;16;;11.01.2008;12.4917;;11.01.2008;#N/A N/A;;11.01.2008;35.17;;11.01.2008;20.31;;11.01.2008;20.8912;;11.01.2008;3.344;;11.01.2008;#N/A N/A;;11.01.2008;70.18;;11.01.2008;17.4185;;11.01.2008;71.68;;11.01.2008;#N/A N/A;;11.01.2008;47.72;;11.01.2008;23.36;;11.01.2008;#N/A N/A
